date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:39	270680/270680	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202024%2017:05:51%20GMT	https://10web-site.ai/17/sincere-minnow/	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/sincere-minnow/index.html	(from )
17:40:39	5685/5685	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Feb%202024%2017:40:40%20GMT	https://10web-site.ai/robots.txt		(from )
17:40:39	0/0	---MC-	400	error ('Bad%20Request')	text/html	date:Sun,%2025%20Feb%202024%2017:40:40%20GMT	https://metrics.10web-site.ai/gtm.js?id=	C:/Users/someone/Desktop/Wheel/metrics.10web-site.ai/gtm.05445.delayed	(from https://10web-site.ai/17/sincere-minnow/)
17:40:40	11594/11594	---MCZ	200	added ('OK')	text/css	etag:W/%2265a8d4ec-2d4a%22	https://10web-site.ai/17/wp-content/themes/tenweb-website-builder-theme/woo/assets/checkout.css?ver=2.1.9	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/wp-content/themes/tenweb-website-builder-theme/woo/assets/checkout6c17.css	(from https://10web-site.ai/17/sincere-minnow/)
17:40:40	10315/10315	---MCZ	200	added ('OK')	text/css	etag:W/%2265a8d4ec-284b%22	https://10web-site.ai/17/wp-content/themes/tenweb-website-builder-theme/woo/assets/cart.css?ver=2.1.9	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/wp-content/themes/tenweb-website-builder-theme/woo/assets/cart6c17.css	(from https://10web-site.ai/17/sincere-minnow/)
17:40:40	9921/9921	---MCZ	200	added ('OK')	text/css	etag:W/%22655dbc1b-26c1%22	https://10web-site.ai/17/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.17.3	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/wp-content/plugins/elementor/assets/css/frontend-legacy.min8864.css	(from https://10web-site.ai/17/sincere-minnow/)
17:40:40	170987/170987	---MCZ	200	added ('OK')	text/css	etag:W/%22655dbc1b-29beb%22	https://10web-site.ai/17/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.17.3	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/wp-content/plugins/elementor/assets/css/frontend.min8864.css	(from https://10web-site.ai/17/sincere-minnow/)
17:40:41	656696/656696	---MCZ	200	added ('OK')	text/css	etag:W/%2265d74b72-a0538%22	https://10web-site.ai/17/wp-content/plugins/tenweb-builder/assets/frontend/css/frontend.css?ver=1.12.20	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/wp-content/plugins/tenweb-builder/assets/frontend/css/frontend16cd.css	(from https://10web-site.ai/17/sincere-minnow/)
17:40:41	712/712	---MCZ	200	added ('OK')	text/css	etag:W/%2265d74b72-2c8%22	https://10web-site.ai/17/wp-content/plugins/tenweb-builder/assets/frontend/css/global_frontend.css?ver=1.12.20	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/wp-content/plugins/tenweb-builder/assets/frontend/css/global_frontend16cd.css	(from https://10web-site.ai/17/sincere-minnow/)
17:40:41	110147/110147	---MCZ	200	added ('OK')	text/css	etag:W/%2265ba261c-1ae43%22	https://10web-site.ai/17/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/Users/someone/Desktop/Wheel/10web-site.ai/17/wp-includes/css/dist/block-library/style.min84fc.css	(from https://10web-site.ai/17/sincere-minnow/)
